,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,Height,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,OKC,C,0.949748743718593,0.7935294117647058,0.6816239316239316,0.7922077922077921,0.0,0.41621621621621624,0.38,0.5121765601217657,0.5916824196597353,0.6999999999999998,0.27,0.0,0.0,0.37,0.27,0.12,0.22,0.13,0.23,0.28,0.13,0.1,0.25,0.2,0.19,0.36
1,Bam Adebayo,MIA,PF,0.5577889447236181,0.6729411764705883,0.6771367521367522,0.7792207792207791,0.02,0.4437837837837838,0.4233734939759036,0.4223744292237444,0.6049149338374291,0.6000000000000002,0.28,0.0,0.01,0.35,0.28,0.19,0.27,0.08,0.33,0.3,0.33,0.09,0.27,0.28,0.2,0.37
2,LaMarcus Aldridge,SAS,C,0.8894472361809045,0.8779411764705882,0.7604700854700855,0.7272727272727273,0.07,0.38054054054054054,0.6301204819277109,0.5669710806697108,0.6427221172022685,0.6999999999999998,0.48,0.02,0.03,0.52,0.45,0.23,0.27,0.08,0.26,0.25,0.17,0.06,0.29,0.19,0.15,0.55
3,Kyle Alexander,MIA,PF,0.002512562814070352,0.11264705882352942,0.39316239316239315,0.6493506493506493,0.0,0.34864864864864864,0.24578313253012046,0.15981735159817353,0.01890359168241966,0.65,0.15,0.0,0.0,0.18,0.15,0.0,0.0,0.15,0.12,0.23,0.0,0.0,0.0,0.31,0.18,0.14
4,Nickeil Alexander-Walker,NOP,SG,0.11557788944723618,0.2911764705882353,0.48290598290598297,0.6103896103896104,0.5,0.20270270270270271,0.5614457831325301,0.10654490106544903,0.0945179584120983,0.40000000000000036,0.45,0.23,0.22,0.19,0.22,0.08,0.13,0.02,0.19,0.14,0.43,0.09,0.12,0.34,0.21,0.41
5,Grayson Allen,MEM,SG,0.1884422110552764,0.3602941176470588,0.5010683760683761,0.7272727272727273,0.56,0.12432432432432432,0.5060240963855421,0.17503805175038056,0.0945179584120983,0.3499999999999999,0.38,0.23,0.21,0.18,0.17,0.15,0.19,0.01,0.13,0.09,0.19,0.04,0.04,0.24,0.19,0.43
6,Jarrett Allen,BRK,C,0.5552763819095478,0.6352941176470589,0.695940170940171,0.8311688311688311,0.04,0.44837837837837835,0.3785542168674699,0.471841704718417,0.5085066162570888,0.6999999999999998,0.26,0.0,0.01,0.36,0.25,0.18,0.26,0.1,0.33,0.32,0.14,0.06,0.44,0.2,0.21,0.38
7,Kadeem Allen,NYK,SG,0.11557788944723618,0.32205882352941173,0.5175213675213676,0.6233766233766234,0.37,0.15135135135135133,0.43132530120481927,0.17732115677321159,0.045368620037807186,0.1999999999999999,0.32,0.1,0.09,0.23,0.23,0.18,0.23,0.02,0.13,0.11,0.48,0.11,0.1,0.27,0.23,0.37
8,Al-Farouq Aminu,ORL,PF,0.7788944723618091,0.7591176470588236,0.5514957264957265,0.6883116883116883,0.49,0.35864864864864865,0.3636144578313253,0.2656012176560122,0.4858223062381853,0.5499999999999998,0.28,0.14,0.14,0.14,0.14,0.1,0.13,0.04,0.3,0.24,0.14,0.11,0.17,0.17,0.15,0.29
9,Justin Anderson,BRK,SF,0.5653266331658291,0.30735294117647055,0.5572649572649573,0.6753246753246753,0.49,0.28783783783783784,0.4493975903614458,0.17960426179604266,0.14177693761814744,0.40000000000000036,0.34,0.13,0.17,0.21,0.18,0.14,0.18,0.04,0.22,0.19,0.15,0.09,0.17,0.18,0.21,0.36
10,Kyle Anderson,MEM,PF,0.8366834170854272,0.525,0.5788461538461539,0.7142857142857143,0.17,0.3037837837837838,0.32024096385542167,0.2458143074581431,0.4914933837429112,0.6000000000000002,0.22,0.03,0.04,0.23,0.19,0.09,0.13,0.03,0.25,0.2,0.29,0.15,0.23,0.18,0.16,0.25
11,Ryan Anderson,HOU,C,0.5778894472361809,0.7088235294117647,0.576923076923077,0.7142857142857143,0.59,0.2737837837837838,0.43951807228915657,0.3888888888888889,0.21928166351606806,0.6000000000000002,0.37,0.22,0.2,0.18,0.16,0.13,0.16,0.06,0.18,0.18,0.1,0.04,0.08,0.13,0.14,0.41
12,Giannis Antetokounmpo,MIL,PF,0.9271356783919598,0.9308823529411764,0.8630341880341881,0.7792207792207791,0.15,0.4467567567567568,0.7214457831325302,0.6978691019786911,0.8223062381852552,0.6999999999999998,0.48,0.06,0.07,0.54,0.41,0.34,0.47,0.06,0.37,0.3,0.44,0.12,0.33,0.37,0.21,0.65
13,Kostas Antetokounmpo,LAL,PF,0.01507537688442211,0.051764705882352935,0.5361111111111111,0.9090909090909091,0.0,0.1962162162162162,0.332289156626506,0.16286149162861494,0.01890359168241966,0.65,0.21,0.0,0.0,0.21,0.21,0.18,0.41,0.07,0.1,0.14,0.2,0.21,0.0,0.28,0.16,0.27
14,Thanasis Antetokounmpo,MIL,SF,0.052763819095477386,0.10205882352941176,0.5935897435897437,0.6753246753246753,0.21,0.24837837837837837,0.5392771084337349,0.15296803652968038,0.05293005671077505,0.4500000000000002,0.39,0.0,0.08,0.44,0.31,0.1,0.26,0.08,0.15,0.18,0.33,0.15,0.12,0.33,0.33,0.42
15,Carmelo Anthony,POR,PF,0.7311557788944724,0.9049999999999999,0.6297008547008547,0.6753246753246753,0.32,0.27945945945945944,0.6219277108433735,0.32572298325722987,0.3686200378071834,0.5499999999999998,0.49,0.15,0.15,0.34,0.34,0.19,0.23,0.03,0.24,0.19,0.21,0.08,0.1,0.21,0.18,0.52
16,OG Anunoby,TOR,SF,0.5251256281407035,0.6076470588235293,0.5275641025641026,0.7532467532467532,0.49,0.21729729729729727,0.33759036144578314,0.25722983257229837,0.45746691871455575,0.5,0.27,0.13,0.13,0.18,0.14,0.06,0.09,0.04,0.18,0.15,0.12,0.12,0.12,0.16,0.2,0.31
